row_idx,Author(s),Year,Title,Candidate_1,Score_1,Candidate_2,Score_2,Candidate_3,Score_3
25,Saad el Hamdaoui,2021,A Multi-Level Perspective on the Geography of Solar Power Plant Diffusion,BulahFINALThesisPT.pdf,28,Master_Thesis_JV.pdf,20,Masterthesis_LisaMulder_6517145.pdf,20
30,Tijmen Bormans,2023,The role of intermediary actors in inclusive innovation,Master_Thesis_JV.pdf,16,BulahFINALThesisPT.pdf,16,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,16
31,Maurits van Schaik,2022,The legitimation of digital platforms across different markets in the Netherlands,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,8,Master_Thesis_JV.pdf,0,Final Thesis Luuk Brouwers 6431631.pdf,0
33,Lars Zijm,2022,Influencing regulations,Master_Thesis_JV.pdf,12,Final Thesis Luuk Brouwers 6431631.pdf,0,Masterthesis_LisaMulder_6517145.pdf,0
36,Kasper Baarends,2022,Analysis of the Dutch Mission-oriented Innovation System (MIS) for a natural gas-free built environment,Masterthesis_LisaMulder_6517145.pdf,40,Master_Thesis_JV.pdf,32,BulahFINALThesisPT.pdf,32
37,Kimberly Deppe,2022,Expectations of Energy communities,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,8,Master_Thesis_JV.pdf,0,Final Thesis Luuk Brouwers 6431631.pdf,0
40,Myrte Bosch,2022,High-rise zero emission buildings,Master_Thesis_JV.pdf,0,Final Thesis Luuk Brouwers 6431631.pdf,0,Masterthesis_LisaMulder_6517145.pdf,0
47,Jeroen van der Teems,2023,Directionality in mission-oriented innovation: an assessment of the directionality challenges in the mission towards a carbon-free electricity system in the Netherlands,Masterthesis_LisaMulder_6517145.pdf,56,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,24,Master_Thesis_JV.pdf,16
75,Elena Voeten,2023,Beyond the Triple Aim Paradox: Unraveling Investor Influence in the Quintuple Aim Era,Master_Thesis_JV.pdf,8,Masterthesis_LisaMulder_6517145.pdf,8,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,8
76,Emre Özmuk,2025,Virtual realities and categorical identity An analysis of categorical membership and user evaluation in the video game industry,BulahFINALThesisPT.pdf,16,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,16,Master_Thesis_JV.pdf,8
79,Nena Schuitemaker,2023,Systematically uncovering transition dynamics: An STCA analysis of the Dutch energy system using LLMs,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,48,BulahFINALThesisPT.pdf,40,Master_Thesis_JV.pdf,16
80,Arthur de Visser,2025,Institutional dynamics and systemic intermediaries in the Dutch electrification transition: Navigating flexibility challenges,BulahFINALThesisPT.pdf,24,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,16,Master_Thesis_JV.pdf,0
81,Maike Conijn,2025,Mapping Technological Sovereignty: A Geopolitical Network Approach to Domestic Capabilities and External Dependencies in Key Technologies,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,16,Master_Thesis_JV.pdf,8,BulahFINALThesisPT.pdf,8
82,Steven van Trooijen,2023,Measuring Informal and Formal Knowledge Transfer Impact on Entrepreneurship Quantity for Healthcare Research Topics across EEs in the Netherlands.,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,40,BulahFINALThesisPT.pdf,32,Master_Thesis_JV.pdf,16
83,Lodewijk de Jongh,2023,Exploring the causes of micro-level behavioural rebound effects in second-hand clothing consumption in the Netherlands,BulahFINALThesisPT.pdf,16,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,16,Master_Thesis_JV.pdf,8
84,Bram Dekker,2025,How equity funding shapes green start-ups success: Insights from Dutch start-ups,Master_Thesis_JV.pdf,8,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,8,Final Thesis Luuk Brouwers 6431631.pdf,0
85,Arne Hefting,2025,Navigating Academia: A Scientometric Study of Early-Career Factors Influencing Academic Mobility,Master_Thesis_JV.pdf,16,Master Thesis - Development of DESAR technologies in The Netherlands - Jorin de Mul 2020-10-19.pdf,16,BulahFINALThesisPT.pdf,8
