Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Understanding end-user acceptance of ‘new sanita4on’: the path towards a circular urban water system,Linde Janssen,2024.0,Dries Hegger,Carel Dieperink,"The transition towards circular and water-wise cities requires the implementation of sanitation systems that make use of water-saving techniques, as well as resourceful use of waste streams. Previous research has identified strategies that professionals involved in the development and implementation of such ‘new sanitation systems’ can deploy to legitimize the innovation to end-users and to improve acceptance. This research explored the current state of end-user acceptance and the legitimation strategies deployed by professionals in two new sanitation projects within KWR’s ANCHOR project: the neighborhoods ‘SUPERLOCAL’ in Kerkrade (NL) and ‘De Nieuwe Dokken’ in Ghent (BE). This research aimed to explore the role that legitimation strategies have in shaping end-user acceptance.",What role do legitimation strategies play in shaping end-user acceptance of new sanitation systems?,6 - Clean Water and Sanitation,This SDG applies as the research focuses on innovative sanitation systems that aim to improve water management and promote sustainable practices in urban environments.,"Netherlands, Belgium",Local,Urban & Regional Development,"new sanitation, end-user acceptance, legitimation strategies, circular urban water system, KWR ANCHOR project",Qualitative Empirical Research,Coded interview transcripts,,KWR Water Research Institute,,Kerkrade,50.874909,6.059385,City,,janssen_2024.pdf,janssen_2024.png,Matched,Netherlands; Belgium,52.243498|50.640281,5.634323|4.666715
A PROTOCOL FOR SAMPLING ECOHYDROLOGICAL TRAITS IN NEPAL’S TERAI ARC LANDSCAPE,Stephen Maycock,2023.0,Hugo de Boer,,"The Terai Arc Landscape (TAL) of Nepal is a global priority conservation area for the Bengal Tiger. This Master's thesis aims to develop a protocol for the systematic collection of data on Leaf Area Index, Fractional Vegetation Cover, and Surface Soil Moisture, which are key ecohydrological parameters. The protocol demonstrated its ability to capture reliable data across various vegetation types and explored a smartphone-based method for LAI measurement. The study also validated satellite products against in-situ data, revealing significant relationships, although the satellite products tended to underestimate values. The findings have important implications for conservation efforts in the TAL.",How can a protocol be developed to systematically collect reliable ecohydrological data in the Terai Arc Landscape to support conservation efforts for the Bengal Tiger?,15 - Life on Land,"This research contributes to the conservation of critical habitats for the Bengal Tiger, addressing biodiversity loss and promoting sustainable land use.",Nepal,Local,Ecology & Biodiversity,"Leaf Area Index, Fractional Vegetation Cover, Surface Soil Moisture, ecohydrology, conservation",Mixed Methods Research,"Protocol design, field data collection, satellite data validation",,,,Bardiya,28.378046,83.99999,City,Abstract too short,maycock_2023.pdf,maycock_2023.png,Matched,Nepal,28.378046,83.99999
Development of a Global National Water Management Index,Yankun Song,2021.0,Kees van Leeuwen,,"This thesis addresses the global challenges of water demand, availability, quality, and extreme events by proposing a set of water-related indicators for monitoring Sustainable Development Goals (SDGs) on a global scale. The aim is to develop a National Water Management Index that integrates the water-energy-food nexus into a comprehensive framework. The methodology includes system analysis and the development of an indicator framework. The main findings highlight the interlinkages between water, energy, and food, and provide insights into the performance of countries regarding water management.",How can a National Water Management Index be developed to monitor water-related indicators for the Sustainable Development Goals on a global scale?,6 - Clean Water and Sanitation,This SDG is relevant as the thesis focuses on water management and the development of indicators to monitor water-related challenges and progress.,Global,Global/International,Governance & Policy,"Water management, SDGs, indicators, water-energy-food nexus, National Water Management Index",Mixed Methods Research,"System analysis, Indicator framework development","City Blueprint® Approach, National Blueprint Framework",,,,,,Broad,Abstract too short,song_2021.pdf,song_2021.png,Matched,Global,,
Optimizing the water allocation system in the Dutch region by adopting the WEAP model,Magdalena Górska,2020.0,Stefan Dekker,,"Water scarcity has increased worldwide due to climate change, rapid population growth, socio-economic development, and environmental degradation leading to water resource crises. A critical challenge in combating droughts is optimizing water resources allocation to meet ecological, economic, and social needs in uncertain future climate change conditions. This research used a Water Evaluation and Planning (WEAP) model to obtain insights for water resources management strategies for the municipality of Laarbeek, the Netherlands. The scenario analysis showed that the reuse of wastewater for irrigation is feasible in the study region, improving the quality of the River Aa by reducing pollutant loads.",How can the pressure on the groundwater resources be alleviated by making new connections between water users and water supplies?,6 - Clean Water and Sanitation,This SDG applies as the research focuses on optimizing water allocation and management to address water scarcity and improve water quality.,"Laarbeek, Netherlands",Local,Water Management,"Water Evaluation and Planning (WEAP) model, water allocation, reuse wastewater, water quality",Mixed Methods Research,"Scenario analysis, WEAP model setup",,KWR Water Research Institute,"Brabant Water, Bavaria Brewery",Laarbeek,51.532293,5.612643,City,Abstract too short,gorska_2020.pdf,gorska_2020.png,Matched,Netherlands,51.532293,5.612643
Flexibility Increasing Solutions for Groundwater Extractions A First Exploration for Solutions,Matthijs Spruijt,2021.0,Paul Schot,,"This thesis explores solutions to increase flexibility in groundwater extraction. The aim is to identify and classify various methods that can enhance groundwater management in rural environments. A case study approach is employed, focusing on shallow groundwater extraction and riverbank filtration. The findings reveal several effective strategies, including surface water injection and aquifer storage recovery, which can improve the efficiency and sustainability of groundwater extraction practices.",What solutions can be implemented to increase flexibility in groundwater extraction?,6 - Clean Water and Sanitation,"This research directly addresses the sustainable management of water resources, aiming to improve groundwater extraction methods and ensure water availability.",Netherlands,Local,Water Management,"groundwater extraction, flexibility, Sustainability, Water management",Qualitative Empirical Research,"Case study, Solution classification, Testing efficiency",,Deltares,,,52.243498,5.634323,Broad,Abstract too short,spruijt_2021.pdf,spruijt_2021.png,Matched,Netherlands,52.243498,5.634323
The risk of opportunistic pathogens in Dutch drinking water – A newly derived DALY approach for assessing the risk of Legionella pneumophila,Johanna M. Engels,2021.0,"Kees van Leeuwen, Jerry van Dijk",,"The disease burden of waterborne pathogens is a growing concern within the Dutch water supply network. In 2011, Dutch health authorities reported 476 infections with the opportunistic pathogen Legionella pneumophila causing Legionnaires’ disease, with a 10% mortality rate. This study aimed to express the risk of L. pneumophila infections using the DALY approach, combining mortality and morbidity. The critical concentrations for L. pneumophila in drinking water were estimated using reverse QMRA. Results indicated a mean critical concentration of 23.6 CFU/L for the DALY approach, highlighting the importance of including disease burden in risk assessments. The study recommends further research on the variability of key parameters to improve risk characterization.",How can the risk of Legionella pneumophila infections in Dutch drinking water be assessed using the DALY approach?,6 - Clean Water and Sanitation,"This study addresses the health risks associated with drinking water quality, specifically focusing on waterborne pathogens, which directly relates to ensuring availability and sustainable management of water and sanitation for all.",Netherlands,National,Governance & Policy,"drinking water quality, emerging pathogens, DALY, reverse QMRA",Quantitative Empirical Research,reverse QMRA,,KWR Water Research Institute,,Netherlands,52.243498,5.634323,Country,,engels_2021.pdf,engels_2021.png,Matched,Netherlands,52.243498,5.634323
"The path to groundwater sustainability for lithium mining: the Salar de Atacama, Chile",Matt Floyd,2021.0,Thilo Behrends,,"The Salar de Atacama was used as a case study to understand to what extent freshwater pumping for lithium mining is impacting groundwater sustainability. The aim was to evaluate both aquifer governance and performance components. The methodology included the groundwater balance method and the water table fluctuation method. Findings indicate that while the average recharge rate is superior to pumping, indicating renewable groundwater availability, aquifer governance is weak, undermining overall sustainability. Recommendations include implementing a river basin management plan that recognizes indigenous community needs and expanding the monitoring network.",To what extent is freshwater pumping for lithium mining impacting groundwater sustainability in the Salar de Atacama?,6 - Clean Water and Sanitation,This SDG applies as the research focuses on groundwater sustainability and the impacts of freshwater pumping on water resources in a critical ecosystem.,"Salar de Atacama, Chile",Local,Energy & Climate,,"Qualitative Empirical Research, Quantitative Empirical Research","Groundwater balance method, Water table fluctuation method",,HidroSinergia,,Salar de Atacama,-23.383623,-68.256672,Broad,Abstract too short,floyd_2021.pdf,floyd_2021.png,Matched,Chile,-23.383623,-68.256672
BioSealing A Single Hole Fractured Rock,Abi Satria Praga,2021.0,Ruud Schotting,A. Raoof,"Climate change poses a threat to freshwater availability around the world, especially in dryland regions. This study investigates the BioSealing technique as a potential solution to groundwater shortages in Yunnan province, China. A sandbox experiment was conducted to assess the effectiveness of BioSealing in sealing fractured rock. The results indicated a decline in effluent flow rate, suggesting some effectiveness of the technique, although the extent of its impact remains uncertain due to unexpected experimental conditions. The findings contribute to the understanding of BioSealing and bioclogging literature.",To what extent is the BioSealing technique effective in sealing a single hole fractured rock to establish a groundwater table in the overlying soil?,6 - Clean Water and Sanitation,"The research addresses groundwater shortages, which directly relates to the goal of ensuring availability and sustainable management of water and sanitation for all.","Yunnan province, China",Local,Water Management,"BioSealing, groundwater, Yunnan, Climate Change, fractured rock","Conceptual & Theoretical, Modelling & Systems Approaches","Sandbox experiment, bacterial count analysis, dual gamma-ray transmission method, 5TE sensors",,,Deltares,Yunnan,25.0,102.0,Region,Abstract too short,praga_2021.pdf,praga_2021.png,Matched,China,25.0,102.0
Precipitation and guano deposition: their combined impact on vegetation dynamics,Anyk Warmerdam,2025.0,Valérie Reijers,,"Coastal ecosystems provide vital ecosystem services, including habitat provision, nutrient cycling, and shoreline protection. Vegetation helps to sustain these functions by acting as ecosystem engineers through soil stabilisation, nutrient flows regulation and food web support. This research studies the influence of precipitation on vegetation productivity, focusing on the role of guano-derived nitrogen and plant community composition. It was hypothesised that precipitation positively affects vegetation productivity, moderated by guano input and plant communities. A study was conducted on five uninhabited islands in the Dutch Wadden Sea. NDVI anomalies were significantly influenced by precipitation anomalies, with vegetation responses varying across islands. Findings highlight the importance of island-specific monitoring and management to support long-term ecosystem resilience.",To what extent does guano deposition influence the relationship between precipitation regimes and vegetation dynamics across spatial and temporal scales?,15 - Life on Land,"This research addresses the interactions between precipitation, nutrient deposition, and vegetation dynamics, which are crucial for maintaining healthy terrestrial ecosystems.",Dutch Wadden Sea,Local,Ecology & Biodiversity,"vegetation dynamics, precipitation, guano deposition, Wadden Sea, NDVI",Mixed Methods Research,"Field surveys, nitrogen isotope analysis, NDVI analysis, Generalized Additive Model (GAM)",,NIOZ; Utrecht University,,Dutch Wadden Sea,,,Broad,,warmerdam_2025.pdf,warmerdam_2025.png,Matched,Netherlands,,
Water use and salinity dynamics in irrigated agriculture. A case study on irrigation management and crop yield under water scarcity in the Nile Delta.,B.J.R. Noordam,2025.0,,,"Agricultural systems in the Nile Delta are under growing pressure from climate change. Freshwater supplies are declining, river flows are becoming less reliable, and salinity stress is intensifying. This study investigates how water availability, irrigation demand, and salinity stress interact at Buzoor Farm Complex in Sharkia Governorate, Egypt. The results show that freshwater remains the key factor for sustaining yields. Across all crop rotations, current supply falls short by 18-44% over a three-year cycle. The findings suggest that drainage water can only be used safely in small amounts and in combination with freshwater. Long-term resilience will require additional storage capacity and stronger management of salinity.","How do water availability, irrigation demand, and salinity stress interact at Buzoor Farm Complex in Sharkia Governorate, Egypt?",6 - Clean Water and Sanitation,"This SDG applies as the study focuses on water management and the challenges posed by salinity in irrigation, which directly impacts water quality and availability for agriculture.","Sharkia Governorate, Egypt",Local,Agriculture,,Modelling & Systems Approaches,"CROPWAT/CLIMWAT model, Maas-Hoffman salinity framework",,,,Sharkia Governorate,30.7417,31.7191,Region,Missing Supervisor,noordam_2025.pdf,noordam_2025.png,Matched,Egypt,30.7417,31.7191
